barcode,first_type
cellid_000000333-1,Myeloid
cellid_000000334-1,Tumor
cellid_000000335-1,Endothelial
cellid_000000336-1,T cells
cellid_000000337-1,Myeloid
cellid_000000338-1,Fibroblast
cellid_000000339-1,Tumor
cellid_000000340-1,Tumor
cellid_000000341-1,Myeloid
cellid_000000342-1,B cells
cellid_000000343-1,Tumor
cellid_000000344-1,Myeloid
cellid_000000345-1,Tumor
cellid_000000346-1,Myeloid
cellid_000000347-1,Tumor
cellid_000000348-1,Fibroblast
cellid_000000349-1,Endothelial
cellid_000000350-1,T cells
cellid_000000351-1,T cells
cellid_000000352-1,Tumor
cellid_000000353-1,Fibroblast
cellid_000000354-1,Tumor
cellid_000000355-1,Tumor
cellid_000000356-1,Myeloid
cellid_000000357-1,Myeloid
cellid_000000358-1,T cells
cellid_000000359-1,Myeloid
cellid_000000360-1,Myeloid
cellid_000000361-1,Tumor
cellid_000000362-1,Tumor
cellid_000000363-1,Fibroblast
cellid_000000364-1,Tumor
cellid_000000365-1,Tumor
cellid_000000366-1,Tumor
cellid_000000367-1,B cells
cellid_000000368-1,Tumor
cellid_000000369-1,Tumor
cellid_000000370-1,Myeloid
cellid_000000371-1,Myeloid
cellid_000000372-1,Tumor
cellid_000000373-1,Tumor
cellid_000000374-1,Tumor
cellid_000000375-1,Fibroblast
cellid_000000376-1,Fibroblast
cellid_000000377-1,Fibroblast
cellid_000000378-1,Tumor
cellid_000000379-1,Myeloid
cellid_000000380-1,Fibroblast
cellid_000000381-1,Tumor
cellid_000000382-1,Tumor
cellid_000000383-1,Myeloid
cellid_000000384-1,B cells
cellid_000000385-1,Fibroblast
cellid_000000386-1,Myeloid
cellid_000000387-1,Tumor
cellid_000000388-1,Tumor
cellid_000000389-1,B cells
cellid_000000390-1,Tumor
cellid_000000391-1,T cells
cellid_000000392-1,Myeloid
cellid_000000393-1,T cells
cellid_000000394-1,Fibroblast
cellid_000000395-1,Fibroblast
cellid_000000396-1,Fibroblast
cellid_000000397-1,T cells
cellid_000000398-1,Tumor
cellid_000000399-1,Tumor
cellid_000000400-1,Fibroblast
cellid_000000401-1,Tumor
cellid_000000402-1,Tumor
cellid_000000403-1,Fibroblast
cellid_000000404-1,Myeloid
cellid_000000405-1,Myeloid
cellid_000000406-1,Tumor
cellid_000000407-1,Myeloid
cellid_000000408-1,Fibroblast
cellid_000000409-1,Tumor
cellid_000000410-1,Fibroblast
cellid_000000411-1,Tumor
cellid_000000412-1,T cells
cellid_000000413-1,Tumor
cellid_000000414-1,T cells
cellid_000000415-1,Tumor
cellid_000000416-1,Tumor
cellid_000000417-1,B cells
cellid_000000418-1,Fibroblast
cellid_000000419-1,Tumor
cellid_000000420-1,Myeloid
cellid_000000421-1,Tumor
cellid_000000422-1,Tumor
cellid_000000423-1,B cells
cellid_000000424-1,Myeloid
cellid_000000425-1,Myeloid
cellid_000000426-1,Fibroblast
cellid_000000427-1,Myeloid
cellid_000000428-1,Tumor
cellid_000000429-1,Fibroblast
cellid_000000430-1,Fibroblast
cellid_000000431-1,Fibroblast
cellid_000000432-1,Myeloid
cellid_000000433-1,Tumor
cellid_000000434-1,Myeloid
cellid_000000435-1,Tumor
cellid_000000436-1,Tumor
cellid_000000437-1,Myeloid
cellid_000000438-1,T cells
cellid_000000439-1,Tumor
cellid_000000440-1,Tumor
cellid_000000441-1,Tumor
cellid_000000442-1,Tumor
cellid_000000443-1,Tumor
cellid_000000444-1,Tumor
cellid_000000445-1,Myeloid
cellid_000000446-1,B cells
cellid_000000447-1,Tumor
cellid_000000448-1,Endothelial
cellid_000000449-1,Tumor
cellid_000000450-1,Tumor
cellid_000000451-1,B cells
cellid_000000452-1,Tumor
cellid_000000453-1,Tumor
cellid_000000454-1,Myeloid
cellid_000000455-1,Tumor
cellid_000000456-1,B cells
cellid_000000457-1,Endothelial
cellid_000000458-1,Endothelial
cellid_000000459-1,Tumor
cellid_000000460-1,Fibroblast
cellid_000000461-1,Tumor
cellid_000000462-1,Tumor
cellid_000000463-1,Tumor
cellid_000000464-1,Tumor
cellid_000000465-1,Tumor
cellid_000000466-1,T cells
cellid_000000467-1,Tumor
cellid_000000468-1,Fibroblast
cellid_000000469-1,Endothelial
cellid_000000470-1,Tumor
cellid_000000471-1,Tumor
cellid_000000472-1,Fibroblast
cellid_000000473-1,B cells
cellid_000000474-1,Tumor
